disease_id,diseaseid,diseasename
963,C0018099,Gout
1156,C0020557,Hypertriglyceridemia
184,C0003864,Arthritis
1761,C0029408,Degenerative polyarthritis
189,C0003873,Rheumatoid Arthritis
2160,C0036646,Age-related cataract
17372,C4520843,Pterygium of eye
12513,C1867441,Pterygium Of Conjunctiva And Cornea
2017,C0033999,Pterygium
2082,C0035334,Retinitis Pigmentosa
6567,C0398650,Immune thrombocytopenic purpura
6736,C0409974,Lupus Erythematosus
1421,C0024131,Lupus Vulgaris
1423,C0024138,"Lupus Erythematosus, Discoid"
1336,C0023434,Chronic Lymphocytic Leukemia
9791,C1332979,Childhood Lymphoma
8600,C0854802,Recurrent Chronic Lymphoid Leukemia
9732,C1332206,Adult Lymphoma
15712,C3887524,Skin Erosion
5463,C0333307,Superficial ulcer
1510,C0025202,melanoma
7390,C0557874,Global developmental delay
6803,C0424605,Developmental delay (disorder)
390,C0007786,Brain Ischemia
9381,C1275217,Paget's disease of vulva
7181,C0521170,Osteoporotic Fractures
1127,C0020473,Hyperlipidemia
1714,C0028754,Obesity
2175,C0036920,Sezary Syndrome
7494,C0596263,Carcinogenesis
322,C0006826,Malignant Neoplasms
9620,C1306459,Primary malignant neoplasm
1591,C0026764,Multiple Myeloma
14784,C3495919,Enthesitis-Related Arthritis
15865,C3899278,Early Rheumatoid Arthritis
1373,C0023524,"Leukoencephalopathy, Progressive Multifocal"
2541,C0079744,Diffuse Large B-Cell Lymphoma
9730,C1332201,Adult Diffuse Large B-Cell Lymphoma
1651,C0027651,Neoplasms
2538,C0079731,B-Cell Lymphomas
9252,C1264041,"von Willebrand Disease, Type 3"
5746,C0339535,"Night blindness, congenital stationary"
5298,C0280324,Laryngeal Squamous Cell Carcinoma
1106,C0020217,Hydatidiform Mole
7580,C0678213,Complete hydatidiform mole
13821,C2931618,Gestational trophoblastic disease
5605,C0334529,"Hydatidiform Mole, Partial"
10529,C1608408,Malignant transformation
442,C0008493,"Hydatidiform Mole, Invasive"
2137,C0036341,Schizophrenia
3131,C0158266,Intervertebral Disc Degeneration
1389,C0023794,Lipoidosis
7539,C0600139,Prostate carcinoma
6383,C0376358,Malignant neoplasm of prostate
7233,C0524620,Metabolic Syndrome X
6801,C0424295,Hyperactive behavior
6571,C0398689,"Hyper-IgM Immunodeficiency Syndrome, Type 1"
10378,C1519670,Tumor Angiogenesis
561,C0010674,Cystic Fibrosis
3183,C0162429,Malnutrition
3289,C0205698,Undifferentiated carcinoma
296,C0006142,Malignant neoplasm of breast
7581,C0678222,Breast Carcinoma
4138,C0264694,Chronic myocardial ischemia
2824,C0151744,Myocardial Ischemia
1004,C0018802,Congestive heart failure
12577,C1868938,End stage cardiac failure
1003,C0018801,Heart failure
7111,C0494165,Secondary malignant neoplasm of liver
10167,C1391732,Cancer cachexia
344,C0007120,Bronchioloalveolar Adenocarcinoma
1301,C0023051,Laryngeal Diseases
1192,C0021051,Immunologic Deficiency Syndromes
5931,C0342386,Follicle stimulating hormone deficiency
7607,C0684249,Carcinoma of lung
1420,C0024121,Lung Neoplasms
9621,C1306460,Primary malignant neoplasm of lung
3944,C0242379,Malignant neoplasm of lung
354,C0007137,Squamous cell carcinoma
7674,C0699791,Stomach Carcinoma
1474,C0024623,Malignant neoplasm of stomach
3396,C0206659,Embryonal Carcinoma
2159,C0036631,Seminoma
492,C0009404,Colorectal Neoplasms
3409,C0206677,Adenomatous Polyps
9571,C1302401,Adenoma of large intestine
1441,C0024299,Lymphoma
2539,C0079740,High Grade Lymphoma (neoplasm)
2251,C0038356,Stomach Neoplasms
17949,C4721610,"Carcinoma, Ovarian Epithelial"
9110,C1140680,Malignant neoplasm of ovary
17957,C4721779,Ovarian cancer stage IV
8885,C0919267,ovarian neoplasm
5278,C0280217,"stage, non-small cell lung cancer"
9264,C1265996,Large cell neuroendocrine carcinoma
1351,C0023467,"Leukemia, Myelocytic, Acute"
4594,C0268381,Primary amyloidosis
9728,C1332199,Adult Desmoplastic Small Round Cell Tumor
5335,C0281508,Desmoplastic Small Round Cell Tumor
10331,C1511789,Desmoplastic
9786,C1332966,Childhood Desmoplastic Small Round Cell Tumor
339,C0007113,Rectal Carcinoma
1982,C0033578,Prostatic Neoplasms
682,C0013415,Dysthymic Disorder
7250,C0525045,Mood Disorders
2408,C0041696,Unipolar Depression
9332,C1269683,Major Depressive Disorder
11241,C1839839,MAJOR AFFECTIVE DISORDER 2
13290,C2700440,MAJOR AFFECTIVE DISORDER 9
252,C0005586,Bipolar Disorder
11734,C1852197,MAJOR AFFECTIVE DISORDER 1
12815,C1970943,MAJOR AFFECTIVE DISORDER 4
13289,C2700439,MAJOR AFFECTIVE DISORDER 8
12816,C1970945,MAJOR AFFECTIVE DISORDER 6
13288,C2700438,MAJOR AFFECTIVE DISORDER 7
980,C0018524,Hallucinations
33,C0001418,Adenocarcinoma
12562,C1868681,DYSTONIA 12
1851,C0030567,Parkinson Disease
1343,C0023449,Acute lymphocytic leukemia
12690,C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma
15701,C3887487,Postaxial polydactyly type A
7680,C0700095,Central neuroblastoma
16421,C4086165,Childhood Neuroblastoma
1681,C0027819,Neuroblastoma
13270,C2697636,Hyperdiploid B Acute Lymphoblastic Leukemia
15875,C3899655,Childhood Langerhans Cell Histiocytosis
15889,C3900100,Adult Langerhans Cell Histiocytosis
1087,C0019621,"Histiocytosis, Langerhans-Cell"
7025,C0457506,Reactive thrombocytosis
8470,C0812413,Malignant Pleural Mesothelioma
