,,,,,,,,,,,,,
C0002066,,,0.8,64000,0.55,prevalence,moderate,,,high,False,,"Rare autosomal recessive metabolic disorder (homogentisic acid oxidase deficiency). Prevalence estimated ~1 in 250,000 to 1 in 1,000,000 globally, corresponding to ~0.5-1 per 100k. Wide geographic variation; higher in certain populations (e.g., Slovakia, Middle East). Prevalence metric appropriate for lifelong genetic disorder."
C0003803,,1.0,,80000,0.68,incidence,moderate,Neurosurgical epidemiological literature and birth defect registries,,low,False,,"Congenital neurological malformation where brain tissue extends into spinal canal. Birth incidence estimated at 1 per 1,000 symptomatic cases; general population incidence ~1 per 100k when including asymptomatic cases identified on imaging."
C0003907,,,,,0.0,,none,,,unknown,False,,"Immunological reaction process, not a disease entity. Arthus reaction describes type III hypersensitivity mechanism occurring in various conditions, too abstract to estimate incidence."
C0004681,,1.5,,120000,0.55,incidence,moderate,,,high,True,Hypersensitivity Pneumonitis,Bagassosis is hypersensitivity pneumonitis from moldy sugarcane exposure. Occupational disease with incidence estimated at ~1.5 per 100k in exposed sugarcane workers globally. Limited published epidemiological studies.
C0005747,,5,300,24000000,0.55,both,moderate,,,low,False,,"Blepharospasm is a focal dystonia. Prevalence estimated ~300 per 100k in older populations, incidence ~5 per 100k per year. Often under-diagnosed. Limited epidemiological data."
C0009178,,,,,0.0,,none,,,unknown,False,,"Cocaine withdrawal is a secondary condition/symptom syndrome dependent on cocaine abuse prevalence, not a primary disease entity. Incidence cannot be meaningfully estimated as a standalone condition. Better mapped through substance abuse disorders."
C0012811,,,35000,2800000000,0.78,prevalence,strong,CT colonography and colonoscopy prevalence studies (2000-2010),,high,True,Colonic Diverticulosis,"Colon diverticulum is an anatomical finding (presence of outpouchings in colonic wall). Measured as prevalence rather than incidence. Approximately 35-40% of population in developed countries have colonic diverticula on imaging, corresponding to 35,000 per 100k. Most are asymptomatic."
C0012819,,,7500,600000000,0.68,prevalence,moderate,Population-based epidemiological surveys and colonoscopy data (2000-2010),,high,True,Colonic Diverticulosis,"Diverticular disease of colon is a chronic condition best measured by prevalence rather than incidence. Estimated prevalence of approximately 7,500 per 100k (7.5% of population) in developed countries based on population screening and epidemiological surveys. Prevalence increases significantly with age."
C0014077,,0.3,,24000,0.35,incidence,weak,,,unknown,True,Acute disseminated encephalomyelitis (ADEM),"Rare acute demyelinating CNS condition, subset of ADEM with hemorrhagic features. Estimated incidence ~0.3 per 100k person-years based on case report frequency and small hospital series."
C0015929,,,,,0.0,,none,,,unknown,False,,"Umbrella term too broad and generic to estimate meaningfully. Encompasses any disease occurring in utero during fetal development (congenital anomalies, infections, genetic disorders, metabolic disorders, etc.). Would require specification of disease type or system to provide meaningful estimate."
C0016782,,2.0,,160000,0.6,incidence,moderate,,,low,False,,Chronic anterior uveitis with heterochromia iridis. Estimated incidence ~2 per 100k. Represents ~3-5% of uveitis cases globally based on ophthalmology registries.
C0017105,,0.02,,1600,0.45,incidence,weak,,,moderate,False,,"Clostridial myonecrosis (gas gangrene) is a rare acute bacterial infection, estimated ~0.02 per 100k based on surgical and trauma literature. High mortality limits prevalence."
C0018987,,0.5,,40000,0.5,incidence,moderate,"WHO birth defects surveillance, CDC National Birth Defects Prevention Network",,low,False,Limb deficiency - congenital,Hemimelia (absence or severe hypoplasia of distal limb) is a rare congenital limb deficiency. Global incidence estimated at ~0.5 per 100k live births based on birth defect surveillance data.
C0020225,,0.2,,16000,0.4,incidence,weak,,,moderate,False,,Rare congenital brain malformation with absence of cerebral hemispheres. Estimated ~0.2 per 100k births based on birth defects registries.
C0020241,,extremely rare,,extremely rare,0.3,,weak,,,high,False,,"Hydroa vacciniforme is an extremely rare photosensitive viral-triggered dermatosis. Only scattered case reports in literature, primarily in tropical and subtropical regions. Incidence estimated <0.01 per 100k globally."
C0020617,,5.0,,400000,0.6,incidence,moderate,,,moderate,True,Hypoglycemia,"Hypoglycemic coma is a severe acute complication, estimated ~5 per 100k in diabetic populations annually."
C0022492,,extremely rare,,extremely rare,0.25,incidence,weak,,,unknown,True,Delusional Disorder,"Kandinsky Syndrome is a rare psychiatric condition characterized by delusions of control (thought insertion, thought withdrawal). Extremely limited epidemiological data; only case reports and small clinical series documented. Estimated <0.01 per 100k based on psychiatric clinic case frequencies."
C0022904,,550,,44000000,0.28,incidence,weak,,,moderate,False,,"Aggregate BOTEC estimate summing major lacrimal disorders: dacryocystitis (~100), nasolacrimal duct obstruction (~200), dry eye syndrome (~200), epiphora (~50+). Total ~550 per 100k. Heterogeneous category."
C0023346,,0.5,,40000,0.5,incidence,moderate,,,high,True,Leprosy,"Borderline leprosy (mid-spectrum form). Represents ~25% of leprosy cases. Global leprosy incidence ~2 per 100k, borderline form ~0.5 per 100k based on WHO surveillance."
C0023472,,2.0,,160000,0.45,incidence,moderate,,,low,True,Chronic Myeloid Leukemia,"Accelerated phase represents progression of CML, comprises ~5-10% of CML cases. Estimated incidence ~2 per 100k based on CML epidemiology. Difficult to separate from CML incidence in registries."
