disease_id,diseaseid,diseasename
16927,C4305324,Acral self-healing collodion baby
3548,C0221028,Neonatal thrombocytopenia (disorder)
6037,C0342951,Hypervitaminosis
3570,C0221210,Congenital malrotation of intestine
1896,C0031190,Persistent Fetal Circulation Syndrome
3011,C0154319,Other specified senile psychotic conditions
13077,C2673535,"DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE (disorder)"
4217,C0265283,"Atelosteogenesis, type 1"
4216,C0265282,Fibrochondrogenesis
9402,C1275684,Meibomian gland dysfunction
16039,C4015307,PERRAULT SYNDROME 5
5032,C0276262,Verruca plana
5555,C0334401,Malignant Granulosa Cell Tumor
10507,C1567257,Granulosa Cell Cancer
13576,C2826177,Acute myeloid leukemia with mutated NPM1
14777,C3495814,Fulminant type 1 diabetes mellitus
13555,C2751986,RETINITIS PIGMENTOSA 42
2621,C0085543,Epilepsia Partialis Continua
7510,C0598106,Encephalomyelopathy
1413,C0024003,Lordosis
3880,C0239295,Candidiasis of the esophagus
7033,C0458219,Complex Regional Pain Syndromes
13551,C2751843,"Leukoencephalopathy, Cystic, Without Megalencephaly"
13423,C2749659,AICARDI-GOUTIERES SYNDROME 5 (disorder)
14621,C3280721,CHILBLAIN LUPUS 2
15210,C3711369,Succinate-Coa Ligase Deficiency
14810,C3502298,"Lactic Acidosis, Fatal Infantile"
16200,C4024981,Localized neuroblastoma
13886,C2932678,Inherited Peripheral Neuropathy
8674,C0857112,Bilateral glaucoma
13904,C2936444,Pyogenic Sacroiliitis
13905,C2936445,Septic Sacroiliitis
10647,C1707400,Classic medulloblastoma
9321,C1266180,Large cell medulloblastoma
17207,C4330265,Triple hit lymphoma
9930,C1334633,Mature B-Cell Neoplasm
11976,C1856897,"Eunuchoidism, familial hypogonadotropic"
14215,C3151226,FICOLIN 3 DEFICIENCY
9414,C1276092,Chronic hand eczema
12536,C1868193,"PNEUMOTHORAX, PRIMARY SPONTANEOUS"
11636,C1849524,Pygmy (disorder)
17895,C4707155,Autosomal recessive myogenic arthrogryposis multiplex congenita
15537,C3812899,Papillary carcinoma of the breast
7442,C0581366,Recurrent cystitis
8612,C0854985,"Adenocarcinoma of lung, stage I"
6157,C0345245,Hyperganglionosis
6546,C0398370,Lipedema
3610,C0221468,Vitamin D-dependent rickets
13194,C2676780,"Progeroid Syndrome, Congenital, Petty Type"
2993,C0154051,Hemangioma of retina
16293,C4049392,Chronic hepatitis C genotype 1
95,C0002631,Infection of amniotic cavity
3040,C0154947,Anatomical narrow angle glaucoma
9341,C1272657,Secondary angle-closure glaucoma - synechial
9513,C1292773,Acute myeloid leukemia with multilineage dysplasia
9585,C1302995,Congenital Fibrosis of the Extraocular Muscles
17356,C4518626,Eosinophilic meningitis due to Angiostrongylus cantonensis
8082,C0751349,"Myoclonus, Eyelid"
18253,C4755264,Severe intellectual disability and progressive spastic paraplegia
13559,C2752008,"Spastic Paraplegia-50, Autosomal Recessive"
11983,C1857069,SCHOPF-SCHULZ-PASSARGE SYNDROME (disorder)
8410,C0796093,Odontoonychodermal dysplasia
13557,C2752001,"Growth Retardation, Developmental Delay, Coarse Facies, And Early Death"
5179,C0278983,Non-small cell lung cancer stage IIIA
1997,C0033817,Pseudomonas Infections
11853,C1854369,Spinocerebellar ataxia 14
4914,C0271934,"Congenital dyserythropoietic anemia, type III"
16464,C4225179,COWDEN SYNDROME 7
14859,C3539888,"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 3"
4913,C0271933,"Congenital dyserythropoietic anemia, type I"
10957,C1834339,"Myopathy, Actin, Congenital, with Excess of Thin Myofilaments"
13473,C2750537,"Myopathy, Actin, Congenital, With Cores"
18103,C4744723,Locally Advanced Cervical Carcinoma
2560,C0080276,Disorder of the genitourinary system
6696,C0406645,Amyopathic dermatomyositis
10020,C1335968,"Vulvar Intraepithelial Neoplasia, Differentiated Type"
17922,C4721412,Malignant Pancreatic Insulinoma
5522,C0334281,"Insulinoma, malignant"
15779,C3888317,"Sialidosis, type 2"
4528,C0268226,Type I Mucolipidosis
3696,C0234972,Convulsive disorder
10234,C1442786,Acute respiratory tract infection
6653,C0403800,Secondary male infertility
12197,C1861185,THROMBOCYTOPENIA 2 (disorder)
2905,C0152457,Kayser-Fleischer ring
11219,C1839130,"Dystonia 3, Torsion, X-Linked"
14531,C3279964,Hyperbiliverdinemia
14868,C3540852,"Rickets, X-Linked Hypophosphatemic"
3781,C0236970,Alcohol-Induced Disorders
9711,C1328928,Multiple Lentigines/LEOPARD syndrome
5660,C0338342,Recurrent Childhood Medulloblastoma
10009,C1335712,Recurrent Medulloblastoma
12928,C2314896,Familial Atypical Mole Melanoma Syndrome
7404,C0559483,Pentalogy of Cantrell
13547,C2751826,Multiple Synostoses Syndrome 3
11808,C1853555,Alzheimer Disease 7
7379,C0554628,Group A Streptococcal Infections
14086,C3150700,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 20"
7300,C0544839,Macular amyloidosis
16811,C4285936,Panperitonitis
9380,C1275192,Subungual keratoacanthoma
904,C0017250,Psychosexual identity disorder
7401,C0559460,Adrenal neuroblastoma
3457,C0206736,"Nevus, Blue"
4314,C0265985,Mongolian Spot
5669,C0338460,Argyrophilic grain disease
16389,C4083008,"Guillain-Barre Syndrome, Familial"
12842,C2020625,Group B Streptococcal Infection
15481,C3810041,ALZHEIMER DISEASE 18
6678,C0406409,Aquagenic pruritus
6548,C0398563,Deficiency of hexokinase (disorder)
5446,C0333157,Colloid Cysts
8823,C0877306,Iris hyperpigmentation
3229,C0162839,Porokeratosis
8993,C0949506,Porokeratosis of Mibelli
6890,C0432226,Metaphyseal anadysplasia
13523,C2751322,Metaphyseal Anadysplasia 2
5747,C0339537,Cone monochromatism
13513,C2751308,CONE DYSTROPHY 4 (disorder)
4814,C0271092,Progressive cone dystrophy (without rod involvement)
10359,C1516553,Prefibrotic/Early Primary Myelofibrosis
15544,C3824874,Mycoplasma pneumoniae Infection
8661,C0856862,Posterior cerebral artery occlusion
2472,C0042928,Vocal Cord Paralysis
10784,C1739395,Takotsubo Cardiomyopathy
2063,C0035127,Cumulative Trauma Disorders
17065,C4310764,"NEUTROPENIA, SEVERE CONGENITAL, 7, AUTOSOMAL RECESSIVE"
4946,C0272160,Chronic neutrophilia
10135,C1384494,Metastatic Carcinoma
12166,C1860042,Antley-Bixler Syndrome with Disordered Steroidogenesis
40,C0001442,Adenosarcoma
4063,C0263472,Bromhidrosis
11785,C1853249,SPINOCEREBELLAR ATAXIA 28
13560,C2752015,Glycogen Storage Disease XIV
7346,C0549414,Blast cell proliferation
12484,C1866552,PARAGANGLIOMAS 2 (disorder)
17549,C4551465,Small airways disease
15117,C3658302,Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum
9368,C1274933,Drug-Induced Stevens Johnson Syndrome
15116,C3658301,Mycoplasma-Induced Stevens-Johnson Syndrome
913,C0017536,Giardiasis
16191,C4024900,Atrophy/Degeneration affecting the brainstem
13522,C2751321,"Macrocephaly, Alopecia, Cutis Laxa, and Scoliosis"
15350,C3808739,"MYASTHENIC SYNDROME, CONGENITAL, 8"
11135,C1837610,ICHTHYOSIS PREMATURITY SYNDROME
16720,C4273952,Folinic acid responsive seizure syndrome
