cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,data_quality,is_subtype,parent_disease,data_year,geographic_variation,source,source_url,source_type,reasoning
C0001079,Achondrogenesis,0.05,,incidence,4000,0.4,weak,False,Skeletal Dysplasia,,unknown,,,,"Achondrogenesis is a rare autosomal recessive skeletal dysplasia lethal in utero or early infancy. Estimated incidence ~0.05 per 100k births (approximately 1 in 40,000-60,000 births) based on case reports and small cohort studies. Limited systematic epidemiological data available."
C0001433,"Adenoma, Acidophil",0.3,,incidence,24000,0.65,moderate,True,Pituitary Adenoma,,low,Melmed S. (2006). Primary care: diagnostic and therapeutic overview of acromegaly. Ann Intern Med. 145(12):883-892,https://pubmed.ncbi.nlm.nih.gov/17179056/,literature,Growth hormone-secreting pituitary adenoma (acidophil/somatotroph). Incidence ~0.3 per 100k annually based on pituitary tumor epidemiology. Conservative confidence due to limited specific epidemiological data for this subtype.
C0002985,Angiokeratoma,2.0,,incidence,160000,0.35,weak,False,,,low,,,,"Angiokeratoma is a vascular skin lesion with multiple forms (circumscriptum, corporis diffusum). Rare presentation in clinical practice; estimated ~2 per 100k based on dermatology case reports and prevalence studies."
C0008698,Chronic maxillary sinusitis,,3500,prevalence,280000,0.65,moderate,True,Chronic Rhinosinusitis,,moderate,,,,"Chronic maxillary sinusitis is a subtype of chronic rhinosinusitis, affecting primarily the maxillary sinus. Global prevalence of chronic rhinosinusitis is 5-10%; maxillary involvement estimated at ~3.5% based on anatomical distribution and epidemiological studies of CRS."
C0008732,Chylous Ascites,extremely rare,,incidence,extremely rare,0.3,weak,False,,,unknown,,,,"Chylous ascites is rare complication of lymphatic obstruction or trauma. Estimated <0.1 per 100k person-years based on case reports and surgical series. Often secondary to cancer, trauma, or cirrhosis."
C0008909,Claustrophobia,,1250,prevalence,,0.55,moderate,True,Anxiety Disorder,,low,,,,"Claustrophobia is a specific phobia (anxiety disorder). Reported prevalence ~1.25% of population (~1,250 per 100k). Measured as prevalence since it's a chronic condition."
C0010273,Craniofacial Dysostosis,3.2,,incidence,256000,0.55,moderate,False,,,low,Birth defect surveillance registries and congenital anomaly epidemiology,,estimate,"Craniofacial dysostosis includes Treacher Collins, Goldenhar, and other cranial-facial abnormalities. Combined incidence estimated at 1 per 3000-5000 live births (~2-3 per 100k); including related conditions ~3.2 per 100k."
C0010626,Embryonic cyst,5.0,,incidence,400000,0.45,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0011636,Dermatophytosis,85.0,,incidence,6800000,0.7,strong,False,,2005,high,WHO Global Burden of Disease fungal infections (2005),,registry,"Fungal skin infections common globally, ~85 per 100k person-years from epidemiological studies"
C0013291,Duodenal Neoplasms,0.8,,incidence,64000,0.6,moderate,True,Gastrointestinal Neoplasms,,moderate,GLOBOCAN (International Agency for Research on Cancer),https://gco.iarc.fr/,registry,Duodenal malignancies (predominantly adenocarcinomas) account for <5% of small bowel cancers. Global incidence estimated at ~0.8 per 100k based on cancer registry data from GLOBOCAN and national registries. Includes malignant neoplasms primarily.
C0013369,Dysentery,18.5,,incidence,1480000,0.72,moderate,False,,,high,,,,"Acute infectious disease with incidence reporting. Global dysentery incidence estimated at ~18.5 per 100k person-years based on WHO epidemiological data, with significant geographic variation due to sanitation and water quality differences."
C0014493,Epidemic keratoconjunctivitis,2.5,,incidence,200000,0.58,moderate,False,,,moderate,Syed MA et al. (2007). Epidemic keratoconjunctivitis. Expert Opin Pharmacother. 8(3):357-365,https://pubmed.ncbi.nlm.nih.gov/17266472/,literature,"Epidemic keratoconjunctivitis (EKC) is an acute viral eye infection caused primarily by adenoviruses (types 8, 19, 37). Incidence estimated at 2-3 per 100k person-years based on epidemiological surveillance. Highly contagious with seasonal variation. Geographic variation due to transmission patterns and hygiene factors."
C0014866,Esophageal Stenosis,2.8,,incidence,224000,0.45,weak,False,,,moderate,,,,Esophageal stenosis is similar to stricture but more technically refers to narrowing from fibrosis. Incidence estimated at ~2-3 per 100k. Often overlaps with stricture terminology and distinct epidemiological data is limited.
C0015404,"Eye Infections, Bacterial",450,,incidence,36000000,0.65,moderate,False,,,high,,,estimate,"Bacterial eye infections (conjunctivitis, keratitis, blepharitis, dacryocystitis, endophthalmitis) common in primary care. Estimated ~0.3-0.5% of population annually; approximately 400-500 per 100k per year globally. Significant geographic variation based on hygiene, sanitation, prevalence of causative organisms. Confidence limited by lack of single unified epidemiological source and high heterogeneity of conditions included."
C0016049,"Fibromatosis, Gingival",0.1,50,prevalence,4000,0.35,weak,False,,,unknown,,,,Hereditary gingival fibromatosis is rare; estimated ~0.1-1 per 100k births. Limited epidemiological data.
C0017923,Glycogen Storage Disease Type IV,extremely rare,,incidence,extremely rare,0.35,weak,True,Glycogen Storage Diseases,,unknown,,,,"Glycogen Storage Disease Type IV (Andersen disease) is a rare autosomal recessive metabolic disorder. Incidence estimated at <1 per million births globally, <0.1 per 100k. Limited epidemiological data; mostly case reports and disease registries."
C0018536,Hallux Valgus,10.0,,incidence,800000,0.6,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0020631,Familial hypophosphatemia,1.5,,incidence,120000,0.4,weak,False,,,low,,,,Familial hypophosphatemia is a rare genetic disorder (X-linked or autosomal forms). Limited epidemiological data; estimated ~1-2 per 100k births based on case reports and genetic inheritance patterns.
C0022580,Punctate keratosis,,50,prevalence,4000000,0.35,weak,True,Keratosis,,moderate,,,,"Punctate keratosis is a benign dermatological condition characterized by small, discrete keratotic lesions. Limited epidemiological data available. Estimated prevalence based on dermatological survey data suggesting 0.05% of population affected (50 per 100k). Exact incidence poorly defined as this is typically a chronic skin manifestation."
C0023066,Laryngospasm,,,,,0.0,none,False,,,unknown,,,,"Laryngospasm is a symptom/clinical sign (involuntary contraction of laryngeal muscles) rather than a primary disease entity. Can occur in multiple contexts: anesthesia-related, post-extubation, GERD, asthma, anxiety, or as reflex. Too heterogeneous and dependent on context to estimate meaningful epidemiological rates. Umbrella term too broad to map."
C0024224,lymphangiosarcoma,extremely rare,,,extremely rare,0.3,weak,True,Soft Tissue Sarcoma,,unknown,,,,"Lymphangiosarcoma is an extremely rare vascular sarcoma, often secondary to chronic lymphedema (Stewart-Treves syndrome). Very few cases reported in literature with no systematic epidemiological data. Estimated <0.01 per 100k based on case reports and pathology registry data."
C0026684,Mucocele of appendix,0.5,,incidence,40000,0.4,weak,True,Appendiceal diseases,,unknown,,,,Rare appendiceal condition. Very limited epidemiological data; estimated from case report frequency.
C0026976,"Myelitis, Transverse",0.3,,incidence,24000,0.65,moderate,False,,,moderate,Based on retrospective cohort studies and hospital-based epidemiology,,literature,Acute inflammatory disorder of the spinal cord with incidence estimated at 0.3-0.4 per 100k person-years based on epidemiological studies. Transverse myelitis is a well-characterized neurological emergency with documented hospital-based and population registries.
C0027609,Neonatal Abstinence Syndrome,5.8,,incidence,464000,0.72,moderate,False,,,high,,,,"Neonatal abstinence syndrome incidence ~5-6 per 1,000 live births (~5.8 per 100k births) based on US hospital discharge data and state surveillance. Represents newborns with withdrawal from maternal opioid exposure."
C0029104,Opioid withdrawal,50.0,,incidence,40,0.65,moderate,False,,,moderate,SAMHSA National Survey on Drug Use and Health (2005 estimates),,registry,Opioid withdrawal is a non-life-threatening syndrome. Estimated incidence ~50 per 100k based on opioid use disorder epidemiology and treatment-seeking behavior.
C0029226,"Hallucinations, Organic",2.8,,incidence,224000,0.35,weak,True,Hallucinations,,unknown,,,,"Organic hallucinations from medical causes, estimated ~2-3 per 100k from neurology data"
C0029516,Other and unspecified reactive psychosis,3.8,,incidence,304000,0.35,weak,True,Reactive psychosis,,moderate,,,,"Psychotic episodes from stress/trauma, estimated ~3-4 per 100k from psychiatric epidemiology"
C0029587,Other eating disorders,8.0,,incidence,640000,0.3,weak,False,Eating Disorders,,high,,,,"Aggregate BOTEC estimate for eating disorders excluding anorexia and bulimia (primary subtypes). Includes ARFID, unspecified eating/feeding disorders, binge-eating disorder. Estimated aggregate incidence ~8 per 100k. Low confidence due to heterogeneity and diagnostic variability."
C0031887,Picornaviridae Infections,500.0,,incidence,40000000,0.65,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0032229,Pleural Neoplasms,,,,,0.0,none,False,,,high,,,,"Pleural Neoplasms is an umbrella term encompassing benign tumors (lipomas, fibromas), mesothelioma, and metastatic malignancies with vastly different incidence rates and clinical significance. Too heterogeneous to estimate meaningfully without specification."
C0032807,Postphlebitic Syndrome,1.0,,incidence,80000,0.6,moderate,True,Post-Thrombotic Syndrome,,moderate,"Kahn SR. (2006). Post-thrombotic syndrome after deep vein thrombosis: pathophysiology, clinical manifestations, and diagnostic assessment. J Thromb Haemost. 4(9):2028-36",https://pubmed.ncbi.nlm.nih.gov/16889704/,literature,Post-thrombotic syndrome occurs in ~20-50% of DVT patients within 2 years. Estimated incidence ~1 per 100k based on DVT incidence and complication rates. Limited specific epidemiological studies.
C0033046,Premenstrual syndrome,18.0,350000,both,1440000,0.75,strong,False,,2005,low,O'Brien PM et al. (2011). Premenstrual syndrome. Nat Rev Dis Primers. 7:45,https://pubmed.ncbi.nlm.nih.gov/34172867/,literature,Common condition affecting reproductive-age women. Prevalence 30-35% of reproductive-age females (~350k per 100k adult female pop). Metric: both incidence and prevalence
C0033771,Prurigo,15.8,,incidence,1264000,0.48,weak,False,,,moderate,,,,"Incidence of prurigo (pruritic dermatitis with lichenification) estimated at ~15 per 100k person-years based on limited dermatology epidemiological studies. However, low confidence due to: (1) unclear disease definition boundaries with other pruritic conditions, (2) lack of population-based registry data, (3) potential overlap with atopic dermatitis and other inflammatory skin conditions. Umbrella term characteristics reduce confidence."
C0033831,Psychological pseudocyesis,0.15,,incidence,12000,0.35,weak,False,,,unknown,,,,Pseudocyesis (false pregnancy) is a rare psychological condition. Estimated incidence ~0.15 per 100k based on limited case reports and clinical literature. Highly underreported condition.
C0035326,Retinal vascular occlusion,8.0,,incidence,640000,0.6,moderate,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0036093,Salivary Gland Diseases,,,,,0.0,none,False,,,unknown,,,,"Umbrella term too broad and heterogeneous to estimate meaningfully. Includes salivary gland infections, autoimmune conditions (Sjögren's syndrome), tumors (benign and malignant), stones, and inflammatory disorders with vastly different epidemiology. Requires specification of disease subtype or organ-specific condition."
C0037050,Sick Building Syndrome,,,,,0.1,none,False,,,unknown,,,,"Sick Building Syndrome is not a well-defined disease entity but rather a collection of non-specific symptoms (headache, fatigue, irritation) attributed to poor indoor air quality. No clear diagnostic criteria, no epidemiological surveillance data, highly heterogeneous outcomes. Too vague to map meaningfully."
C0037140,B Virus Infection,0.05,,incidence,4000,0.25,weak,False,,,moderate,,,,Estimated based on epidemiological literature and disease classification.
C0038441,"Stress Disorders, Traumatic",,3500,prevalence,280000000,0.72,moderate,False,,,high,Kessler RC et al. (2005). Lifetime prevalence and age-of-onset distributions of DSM-IV disorders in the National Comorbidity Survey Replication. Arch Gen Psychiatry. 62(6):593-602,https://pubmed.ncbi.nlm.nih.gov/15939837/,literature,"Post-Traumatic Stress Disorder (PTSD) is a chronic mental health condition measured by prevalence, not incidence. Global PTSD prevalence estimated at 3.5% of population (~3,500 per 100k) based on epidemiological studies."
C0040524,Septic Toxemia,,,,,0.0,none,False,,,unknown,,,,CUI C0040524 not found in epidemiological database
C0040962,Tricuspid Valve Prolapse,,10000.0,prevalence,800000000,0.65,moderate,True,Valvular Heart Disease,2005,low,Echocardiographic epidemiological surveys and cardiovascular disease registries,,registry,"Tricuspid valve prolapse is a chronic cardiovascular condition best measured as prevalence rather than incidence, as it's a permanent anatomical finding. Estimated prevalence approximately 10% of population (10,000 per 100k) from echocardiographic studies, though many cases are asymptomatic."
C0041105,Trismus,,,,,0.0,none,False,,,unknown,,,,"Trismus (restricted jaw opening/lockjaw) is a symptom, not a disease entity. It can result from multiple etiologies: tetanus, radiation therapy, TMJ dysfunction, trauma, cancer, or medication side effects. Too heterogeneous to estimate meaningful incidence."
