cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,confidence,data_quality,source,source_url,source_type,year_specific,geographic_variation,is_subtype,parent_disease,reasoning,total_cases_per_year
,,,,,,,,,,,"{'low': 1, 'moderate': 2, 'high': 1, 'unknown': 1}",,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,"{'low': ['C1708749'], 'moderate': ['C1397523', 'C1827894'], 'high': ['C0795953'], 'unknown': ['C0266304']}",,,,
C0001361,Acute tonsillitis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0001630,Adrenal Rest Tumor,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0001824,Agranulocytosis,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0002880,Autoimmune hemolytic anemia,1.0,,incidence,0.68,moderate,,,,False,moderate,True,Hemolytic Anemia,AIHA incidence ~1-3 per 100k per year based on hematology registries. Using conservative estimate of 1 per 100k. Moderate geographic variation.,80000
C0003076,Aniridia,1.0,,incidence,0.35,weak,,,,False,unknown,False,,Limited epidemiological data available. Conservative estimate based on disease category.,80000
C0003463,Anus Neoplasms,2.5,,incidence,0.65,moderate,,,registry,False,moderate,False,,Cancer incidence estimated from cancer registry data. Moderate confidence based on subtype specificity.,200000
C0003504,Aortic Regurgitation,,640,prevalence,0.58,moderate,"Iung B, Vahanian A. (2011). Epidemiology of valvular disease in the adult. Nat Rev Cardiol. 8(3):162-172",https://pubmed.ncbi.nlm.nih.gov/21263405/,literature,False,moderate,False,,"Cardiac valvular disease measured as prevalence rather than incidence, as this is typically a chronic condition with varying etiology (degenerative, rheumatic, endocarditis sequelae, aortic aneurysm). Prevalence approximately 0.64% of population (640 per 100k) based on echocardiographic studies. Both acute and chronic forms exist but chronic is more prevalent. Limited good epidemiological incidence data available in literature.",51200000
C0003873,Rheumatoid Arthritis,28.0,600,both,0.82,strong,Carmona L et al. (2010). Burden of disease in rheumatoid arthritis. Semin Arthritis Rheum. 39(4):257-268,https://pubmed.ncbi.nlm.nih.gov/19136085/,literature,False,moderate,False,,"Well-defined autoimmune arthritis with good epidemiological data. Global incidence ~28 per 100,000 person-years based on multiple population studies. Prevalence approximately 0.6% of population (600 per 100k). Moderate geographic variation due to genetic and environmental factors. Female:male ratio approximately 2.5:1.",2240000
