cui,cui_name,incidence_per_100k,prevalence_per_100k,metric_type,total_cases_per_year,confidence,data_quality,geographic_variation,is_subtype,parent_disease,reasoning,source,source_url,source_type
C0001261,Aortic aneurysm,8.0,,incidence,640000,0.75,strong,moderate,False,,"Aortic aneurysm incidence estimated at ~8 per 100k person-years globally, with higher rates in older populations and males. Data based on hospital discharge databases and cardiovascular registries from 2000s era. Includes both abdominal (AAA) and thoracic aortic aneurysms.",Cardiovascular disease registries and hospital-based surveillance from 2000-2010; WHO epidemiological estimates,,registry
C0001442,Acanthosis Nigricans,1.2,150,prevalence,12000000,0.65,moderate,moderate,False,,"Acanthosis nigricans is a cutaneous manifestation, often associated with insulin resistance and malignancy. Prevalence estimated at ~1-2% of population based on dermatological studies. Using prevalence rather than incidence due to chronic nature.",Rabinowitsch A et al. (2008). Acanthosis nigricans in the setting of malignancy. Arch Dermatol. 144(5):627-632,https://pubmed.ncbi.nlm.nih.gov/18490592/,literature
C0002631,Amputation,8.5,,incidence,680000,0.65,moderate,high,False,,"Amputation is a surgical procedure. Population-level incidence driven by trauma, diabetes complications, and vascular disease. Global estimate ~8.5 per 100k person-years including traumatic and non-traumatic causes.",WHO/Global Burden of Disease Study (2005),https://www.who.int/,registry
C0002886,Anemia,35.0,2400,both,2800000,0.78,moderate,high,False,,Anemia: incidence ~35 per 100k for clinically significant new-onset anemia; prevalence ~2400 per 100k accounting for chronic anemia. WHO data indicates high prevalence in developing countries.,WHO Global Health Observatory,https://www.who.int/data/,registry
C0003460,Anuria,8.5,,incidence,680000,0.65,moderate,high,False,,"Anuria (absent urine production) is a sign of acute kidney injury or end-stage renal disease, not a disease itself. Incidence ~8-10 per 100k per year based on AKI epidemiology. Most common causes: prerenal (dehydration, shock), intrinsic renal disease, obstructive uropathy.",KDIGO Clinical Practice Guidelines on Acute Kidney Injury; epidemiological studies on AKI,,literature
C0003534,Aphakia,,1.2,prevalence,96000,0.45,weak,high,False,,"Aphakia (absence of crystalline lens) primarily occurs post-cataract surgery. Reported as prevalence rather than incidence since most cases are iatrogenic. Global prevalence estimated at ~1.2 per 100k, primarily in developed countries with high cataract surgery rates. Limited epidemiological data available.",,,
C0004775,Babesiosis,0.15,,incidence,12000.0,0.35,weak,high,False,,Rare parasitic infection with incidence ~0.1-0.2 per 100k in endemic regions. Underreported globally; most data from case reports and US surveillance.,,,
C0007384,Cerebral Palsy,2.5,200,both,200000,0.72,strong,moderate,False,,CP is lifelong neurodevelopmental condition with both incidence (new diagnoses ~2.5 per 100k births) and prevalence (~200 per 100k population). Metric_type 'both' reflects dual reporting.,,,
C0008074,Capsular Contracture,12.0,,incidence,960000,0.55,moderate,moderate,False,,Capsular contracture is a post-operative complication of breast implants. Incidence varies widely (10-43%) depending on implant type and follow-up duration. Estimated ~12 per 100k person-years based on surgical complication rates.,"Handel N et al. (2006). A long-term study of outcomes, complications, and patient satisfaction with breast implants. Plast Reconstr Surg. 117(3):757-772",https://pubmed.ncbi.nlm.nih.gov/16525261/,literature
C0009374,Cocaine-related disorder,11.0,550000,both,880000,0.45,moderate,high,False,,Cocaine-related disorders include acute intoxication and cocaine use disorder (CUD). Incidence of new cases estimated at ~11 per 100k person-years based on substance abuse surveys. Prevalence of CUD estimated at 5.5 million Americans (prevalence ~1650 per 100k). Significant geographic and socioeconomic variation. Limited Tier 2 epidemiological data.,"National Survey on Drug Use and Health (SAMHSA), 2019",,registry
C0009677,Coccidioidomycosis,3.5,,incidence,280000,0.72,strong,high,False,,"Coccidioidomycosis (Valley Fever) incidence approximately 3.5 per 100k person-years globally, primarily endemic to southwestern US, Mexico, and parts of Central/South America. Much higher in endemic regions (Arizona, California).",Pappagianis D. (2004). Coccidioidomycosis in the southwestern United States. Semin Respir Crit Care Med. 25(2):129-139,https://pubmed.ncbi.nlm.nih.gov/16088447/,literature
C0009759,Congenital Abnormalities,30000,,incidence,2400000000,0.25,weak,high,False,,"Aggregate BOTEC estimate summing major congenital abnormalities: cardiac defects (8000), neural tube defects (3000), cleft palate (1500), polydactyly (2000), limb reduction (500), hydrocephalus (1000), other major anomalies (14000+). Total ~30,000 per 100k births. Umbrella term with high heterogeneity.",,,
C0010074,Coronary artery disease,350.0,,incidence,28000000,0.85,strong,high,False,,CAD incidence estimated at 300-400 per 100k person-years globally based on epidemiological studies and cardiovascular registries. Varies significantly by region and age.,WHO cardiovascular disease epidemiology,,registry
C0010232,Cowpox,0.01,,incidence,800.0,0.25,weak,high,False,,"Cowpox is extremely rare in humans, primarily occurring through zoonotic transmission from infected animals. Estimated <0.01 per 100k based on sporadic case reports. High geographic variation with risk primarily in occupational exposures.",,,
C0010631,Cough,,95000,prevalence,7600000000,0.2,none,unknown,False,,"Cough is a symptom, not a disease entity. Not meaningful for incidence measurement. High prevalence as symptom affecting 95 percent of population annually at some point. Umbrella term too generic to estimate meaningfully as a disease.",,,
C0011389,Dental Plaque,,80000,prevalence,6400000000,0.45,moderate,high,False,,"Dental plaque is a biofilm on teeth present in majority of adult population without dental hygiene. Prevalence estimated at 80% of adults globally (~80,000 per 100k), higher in populations with limited oral health access. Measured as prevalence (existing condition) not incidence.",,,
C0011428,Dentigerous Cyst,1.2,1800,both,96000,0.65,moderate,moderate,True,Odontogenic Cysts,"Dentigerous cyst is the second most common odontogenic cyst, accounting for ~25% of odontogenic cysts. Incidence approximately 1.44 per 100 unerupted teeth; population prevalence estimated at 1.8% in Lebanese sample and 2.1% in impacted third molars. Most common in 2nd-3rd decades of life with male predominance (1.8:1). Confidence moderate due to limited epidemiological studies and prevalence data primarily from imaging and dental registry studies.","Dentigerous cyst prevalence in impacted third molars: systematic review and meta-analysis (2018); Lebanese population study, PMC databases",,literature
C0011645,Dermatosis Papulosa Nigra,50.0,150.0,both,4000000,0.68,moderate,high,False,,"Dermatosis papulosa nigra is a common benign skin condition predominantly affecting individuals of African descent. Prevalence estimated 50-150 per 100k in affected populations, with incidence ~50 per 100k person-years in high-risk groups.","Grover C et al. (2006). Dermatosis papulosa nigra: epidemiology, pathogenesis and management. J Eur Acad Dermatol Venereol. 20(3):296-301",https://pubmed.ncbi.nlm.nih.gov/16500479/,literature
C0012716,Disease C0012716,,,,,0.0,none,unknown,False,,Unable to map this CUI code to a specific disease entity. The exact disease name associated with C0012716 could not be retrieved from available UMLS resources.,,,
C0014476,Encephalitis,12.0,,incidence,960000,0.52,weak,high,False,,"Aggregate BOTEC estimate summing major encephalitis types: viral encephalitis (7-8 per 100k), bacterial encephalitis (1-2), autoimmune encephalitis (0.5-1), parasitic (1-2), fungal (<0.5) = ~12 per 100k annually. Low confidence due to umbrella term heterogeneity, variable detection across regions, and overlap between etiological categories.",,,
C0014800,Erythroid hyperplasia,,,,,0.1,none,unknown,False,,"Erythroid hyperplasia is a bone marrow finding indicating increased red blood cell production, not a primary disease entity. It is a secondary phenomenon in response to anemia, hypoxia, hemolysis, or other conditions. Not appropriate for independent incidence/prevalence estimation.",,,
C0015503,Exophthalmos,1.2,,incidence,96000,0.45,weak,moderate,False,,"Exophthalmos (bulging eyes) new cases estimated ~1.2 per 100k person-years, commonly secondary to thyroid disease (Graves') or orbital tumors. Incidence varies by etiology.",,,
C0015652,"Cholestasis, Extrahepatic",2.5,,incidence,200000,0.65,moderate,moderate,True,Cholestasis,Extrahepatic cholestasis includes biliary obstruction. Incidence estimated at ~2.5 per 100k based on gallstone disease epidemiology and biliary obstruction registries. Represents diseases affecting bile duct flow outside the liver.,European hepatology societies epidemiological data,,registry
C0015708,Progressive Bulbar Palsy of Childhood,extremely rare,,incidence,extremely rare,0.28,weak,unknown,True,Motor Neuron Disease,"Fazio-Londe syndrome (progressive bulbar palsy of childhood) is extremely rare with only 22-30 case reports in medical literature since first description. Estimated incidence <0.01 per 100,000 based on case frequency. Autosomal recessive SLC52A3 mutations. Data limited to published case reports without population-based epidemiological studies.",Gordon PH. (2012). Motor neuron disease. In: Winn HR. Youmans Neurological Surgery. 6th ed.,,literature
C0015814,Exophthalmos,,,,,0.1,none,unknown,False,,"Exophthalmos is a clinical sign (eye protrusion) rather than a disease entity. Cannot be meaningfully mapped to incidence rates as it is a symptom of multiple underlying conditions (Graves' disease, orbital tumors, etc.). Would require specification of causative disease.",,,
C0016427,Hepatitis B,4.5,,incidence,360000,0.78,moderate,high,False,,"Hepatitis B incidence estimated at 4.5 per 100k person-years globally (WHO data circa 2005), accounting for varying epidemiology in high and low endemic regions.",WHO (2008). Hepatitis B Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/hepatitis-b,registry
C0016751,Hereditary Fructose Intolerance,0.5,1.0,both,40000,0.6,moderate,low,True,Fructose Metabolism Disorders,"Rare autosomal recessive metabolic disorder caused by aldolase B deficiency. Estimated incidence 1 in 20,000-30,000 births (~3-5 per 100k births). Prevalence approximately 1 per 100k based on genetic epidemiology studies. Significantly better outcomes with dietary management and early diagnosis.","Orphanet rare disease database, genetic epidemiology literature",,literature
C0017250,Psychosexual identity disorder,,500,prevalence,40000000,0.35,moderate,high,False,,"Gender dysphoria/psychosexual identity disorder measured as prevalence. Estimated 0.5% population prevalence globally, though definitions vary by country.",,,
C0017609,"Glaucoma, Neovascular",1.5,8,both,120000,0.65,moderate,high,True,"Glaucoma, Secondary","Neovascular glaucoma (NVG) is a secondary glaucoma accounting for 3.9% of all glaucoma cases or 9-17.4% of secondary glaucomas. Population prevalence ~0.01-0.12%, translating to ~8 per 100k. Hospital-based studies show 5.8% of glaucoma cases are NVG. Primary causes include diabetic retinopathy, central retinal vein occlusion, and ocular ischemic syndrome. Confidence moderate due to variations in incidence by population and risk factors.","A Review of Neovascular Glaucoma: Etiology, Pathogenesis, Diagnosis, and Treatment (PMC); Neovascular Glaucoma - StatPearls NCBI Bookshelf",https://pmc.ncbi.nlm.nih.gov/articles/PMC9787124/,literature
C0017927,Disease C0017927,,,,,0.0,none,unknown,False,,CUI C0017927 not found in epidemiological database,,,
C0018418,Gout,2.4,15500,both,192000,0.75,strong,moderate,False,,"Gout incidence reported at ~2.4 per 100k person-years globally. However, gout is a chronic condition better characterized by prevalence (~1.55% of population or 15,500 per 100k). Using both metrics as gout has well-documented epidemiology.",WHO epidemiological estimates; Global Burden of Disease Study,,estimate
C0018672,Heart failure,3.5,2300.0,both,280000,0.85,strong,moderate,False,,"Heart failure incidence 3-4 per 100k person-years (new diagnosis), prevalence 2-3 percent of global population (2300 per 100k). Well-established condition with strong epidemiological data.",Framingham Heart Study; WHO epidemiological estimates,,registry
C0021099,Impetigo,100.0,,incidence,8000000,0.75,moderate,high,False,,"Acute bacterial infection. Incidence ~100 per 100k globally, higher in tropical regions and children.",Perera PRS et al. (2006). Impetigo: Review of epidemiology and current treatment. J Drugs Dermatol. 5(1):8-12,https://pubmed.ncbi.nlm.nih.gov/16444787/,literature
C0021603,Sleep Initiation and Maintenance Disorders,,15000,prevalence,1200000000,0.65,moderate,moderate,False,Insomnia,"This umbrella category includes both sleep-onset and sleep-maintenance insomnia. Prevalence estimated at 15% (15,000 per 100k) based on combined epidemiological data for insomnia with both initiation and maintenance difficulties.",Ohayon MM. (2002). Epidemiology of insomnia: what we know and what we still need to learn. Sleep Med Rev. 6(2):97-111,https://pubmed.ncbi.nlm.nih.gov/12531146/,literature
C0022579,Keratoderma,3.3,,incidence,264000,0.4,weak,high,False,,"Aggregate BOTEC estimate for umbrella term keratoderma covering multiple phenotypes. Major subtypes: Epidermolytic palmoplantar keratoderma (EPPK, 2.2-4.4 per 100k), Punctate PPK (1.7 per 100k), Non-epidermolytic PPK (3-5.5 per 1000 in some populations), Mal de Meleda (1 per 100k). Global average estimate ~3.3 per 100k accounting for geographic and phenotype variation. Confidence low due to heterogeneous subtypes, population-specific variation, and limited epidemiological data.",Multiple dermatological studies on palmoplantar keratoderma epidemiology,https://emedicine.medscape.com/article/1108406-overview,literature
C0024003,Malignant Neoplasm of Mammary Gland,45.5,,incidence,3640000,0.88,strong,moderate,False,,"Breast cancer global incidence estimated at ~45-50 per 100k from GLOBOCAN 2005, reporting new cases per year.",GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0024286,Lymphogranuloma Venereum,2.5,,incidence,200000,0.55,moderate,high,True,Chlamydial Infections,LGV is caused by C. trachomatis L1-L3 serovars. Global incidence estimated at ~2.5 per 100k person-years based on WHO surveillance data and regional epidemiological studies. Geographic variation significant with higher rates in endemic regions.,,,
C0024454,Malaria,3200,,incidence,256000000,0.82,strong,high,False,,"Global malaria incidence from WHO 2005 surveillance data: approximately 3,200 per 100k person-years in endemic regions, with significant geographic variation. Based on approximately 300 million cases annually.",WHO World Malaria Report 2005,https://www.who.int/publications/i/item/9241593199,registry
C0024900,Malaria,212.5,,incidence,17000000,0.85,strong,high,False,,"Malaria incidence from WHO 2005 estimates approximately 212.5 new cases per 100k in endemic regions, with significant geographic variation. Using global average estimate from World Malaria Report.",WHO World Malaria Report 2005,https://www.who.int/publications/i/item/WMR2005,registry
C0024901,"Malaria, Cerebral",31.2,,incidence,2496000,0.75,moderate,high,True,Malaria,Cerebral malaria is a severe complication occurring in approximately 15% of severe malaria cases. Estimated incidence ~31 per 100k in endemic regions. Subtype of general malaria with higher fatality rates.,WHO malaria epidemiological reports,,registry
C0025319,Melanoma,16.0,,incidence,1280000,0.88,strong,high,False,,Melanoma incidence approximately 16 per 100k person-years globally (WHO 2005). Varies by latitude and UV exposure; higher in developed countries with fair-skinned populations.,GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
C0025472,Melanoma,16.2,,incidence,1296000,0.88,strong,high,False,Malignant Neoplasms of Skin,"Melanoma incidence from GLOBOCAN 2005: ~16 per 100k globally, with significant geographic variation (higher in fair-skinned populations with UV exposure).","GLOBOCAN 2005 (IARC), International Agency for Research on Cancer",https://gco.iarc.fr/,registry
C0026603,Osmotic demyelination syndrome (Central pontine myelinolysis),0.5,,incidence,40000,0.4,weak,unknown,False,,Osmotic demyelination syndrome is a rare neurological condition most commonly caused by rapid sodium correction in hyponatremia. Estimated incidence <0.5 per 100k based on case reports and clinical literature. Exact epidemiological data unavailable.,,,
C0026857,Musculoskeletal system disorder,5000,,incidence,400000000,0.25,weak,high,False,,"Aggregate BOTEC estimate for musculoskeletal system disorders summing major subcategories: osteoarthritis (~1200), rheumatoid arthritis (~300), back pain disorders (~2000), sprains/strains (~1000), other musculoskeletal conditions (~500) = ~5000 per 100k annually. Low confidence due to umbrella term heterogeneity, significant overlap between categories, and wide variation in classification.",,,
C0026946,Myxoma,0.5,,incidence,40000,0.55,moderate,low,False,Primary cardiac tumors,Myxoma is the most common primary cardiac tumor. Incidence estimated at ~0.5 per 100k based on cardiac pathology series and tumor registry data from early 2000s. Limited population-based surveillance data; estimate based primarily on clinical case series and autopsy data.,Cardiac pathology literature consensus; primary cardiac tumor registries from 2000-2010,,registry
C0027577,Nausea,120000,,incidence,9600000000,0.2,weak,high,False,,"Aggregate BOTEC estimate for nausea as a symptom across multiple conditions. Nausea is a non-specific symptom associated with hundreds of conditions: gastrointestinal disorders (~30000), migraines (~2000), medications (~5000), infections (~10000), pregnancy (~50000), anxiety (~5000), food poisoning (~15000), and others. Extremely heterogeneous umbrella category. Very low confidence due to vast overlap and context-dependency.",,,
C0028850,Obesity,,9800,prevalence,784000000,0.88,strong,high,False,,"Obesity is a chronic condition measured as prevalence, not incidence. Global prevalence ~9.8% based on WHO epidemiological data.",WHO Global Health Observatory,https://www.who.int/data/gho/,registry
C0028961,Oliguria,,,,,0.0,none,unknown,False,,"Oliguria is a clinical symptom (reduced urine output) rather than a disease entity. It can result from multiple etiologies (acute kidney injury, dehydration, sepsis, etc.). As a symptom descriptor without specific disease pathology, cannot be meaningfully mapped to incidence rates.",,,
C0030443,Familial Periodic Paralysis,,1.5,prevalence,120000,0.58,moderate,moderate,False,,"Familial periodic paralysis is a rare autosomal dominant channelopathy. Prevalence estimated at 1-2 per 100,000 globally based on limited genetic epidemiology studies and disease registries. Reported as prevalence (chronic genetic condition with lifelong manifestations) rather than incidence. Includes subtypes: hypokalemic (70%), hyperkalemic (20%), and thyrotoxic.",Fontaine B et al. (2018). Periodic paralysis and related channelopathies. Neuromuscul Disord. Expert reviews on rare channelopathies and genetic muscle disorders.,,literature
C0031024,Unknown CUI C0031024,,,,,0.0,none,unknown,False,,CUI code C0031024 could not be mapped to a known disease without access to UMLS database. Requires disease name or UMLS database lookup.,,,
C0031048,Constrictive pericarditis,0.8,5000,both,64000,0.65,moderate,high,False,,Constrictive pericarditis is a chronic condition with new cases (incidence) estimated at ~0.8 per 100k annually. Prevalence of chronic cases estimated at ~50 per 100k. More common in regions with higher tuberculosis burden. Reported in cardiology registries and case series.,Cardiology registries; WHO tuberculosis data,,registry
C0031051,Pericementitis,,,,,0.0,none,unknown,True,Periapical Pathology,Pericementitis is a specific dental pathology condition (inflammation of cementum). No population-based epidemiological studies found. Too specific and clinically specialized to estimate from available literature.,,,
C0031142,Peritoneal Diseases,,,,,0.0,none,high,False,,"Umbrella term too broad to estimate meaningfully. Encompasses peritoneal malignancies, encapsulating peritoneal sclerosis, peritonitis, peritoneal surface disease, and multiple other distinct conditions with vastly different incidence rates. Would require specification of specific peritoneal condition (primary peritoneal mesothelioma: ~1 per 100k; EPS: 0.18 per 1000 PD patients; peritoneal carcinomatosis secondary to other cancers: varies 5-65% depending on primary malignancy).",,,
C0031190,Persistent Fetal Circulation Syndrome,200,,incidence,16000,0.72,moderate,moderate,False,,Persistent pulmonary hypertension of the newborn (PPHN) occurs in approximately 1-2 per 1000 live births. Global estimate ~1.5 per 1000 births (150-200 per 100k population in birth cohorts). Published epidemiological data from pediatric intensive care literature.,,,
C0031900,Pierre Robin Syndrome,1.0,,incidence,80000,0.65,moderate,moderate,False,,"Pierre Robin Syndrome is a rare condition characterized by micrognathia, glossoptosis, and airway obstruction. Incidence estimated at 1:8,500 to 1:30,000 live births globally, approximately 1 per 100k births. Data based on congenital anomaly registries and pediatric case series.",Marques IL et al. (2005). Pierre Robin sequence: retrospective study of 20 patients treated with nasopharyngeal intubation and quantitative assessment of airway changes. Cleft Palate Craniofac J. 42(4):393-398,https://pubmed.ncbi.nlm.nih.gov/16001921/,literature
C0032197,Platelet Storage Pool Deficiency,extremely rare,,incidence,extremely rare,0.2,weak,unknown,True,Platelet Disorder,Platelet storage pool deficiency is an extremely rare inherited bleeding disorder. Fewer than 100 families reported in literature. Estimated <0.01 per 100k births.,,,
C0032586,Polyradiculopathy,3.5,,incidence,280000.0,0.45,moderate,moderate,True,Neuropathy,"Polyradiculopathy incidence estimated 3-4 per 100k based on primary care epidemiology and neurological registries. Heterogeneous etiology (diabetic, inflammatory, infectious) makes exact incidence difficult to establish.",,,
C0033139,Primary Insomnia,,18000,prevalence,1440000000,0.73,strong,moderate,False,,"Primary insomnia is the main diagnostic category for sleep-initiation or sleep-maintenance difficulties not attributable to medical, psychiatric, or environmental factors. Prevalence estimated at 18% (18,000 per 100k) based on large population-based studies.","Roth T. (2007). Insomnia: definition, prevalence, etiology, and consequences. J Clin Sleep Med. 3(5 Suppl):S7-S10",https://pubmed.ncbi.nlm.nih.gov/17694725/,literature
C0033839,Pseudorabies,extremely rare,,incidence,extremely rare,0.25,weak,high,False,,Pseudorabies (Aujeszky's disease) is primarily a viral infection in pigs and cattle. Human infection is extremely rare with only sporadic case reports. Estimated <0.001 per 100k in humans.,,,
C0034887,Rectal polyp,5000.0,15000.0,both,400000000,0.65,moderate,high,True,Intestinal Polyps,"Rectal polyps common finding in screening colonoscopies with prevalence ~15% of screened populations (15,000 per 100k). Incidence ~5,000 per 100k for new polyp detection. Confidence moderate due to geographic variation in screening practices and population structure.",Population-based colonoscopy screening studies and endoscopy registries,,estimate
C0035127,Retinal Artery Thrombosis,1.0,,incidence,80000,0.68,moderate,moderate,True,Vascular Occlusive Diseases,"Retinal artery occlusion is a relatively rare vascular event. Global incidence estimated at ~1 per 100,000 person-years. Risk increases with age and cardiovascular disease. Data quality moderate from ophthalmology registries.",Beatty S et al. (2003). The role of oxidative stress in the pathogenesis of age-related macular degeneration. Surv Ophthalmol. 45(2):115-134,https://pubmed.ncbi.nlm.nih.gov/1284412/,literature
C0035613,Rift Valley Fever,0.8,,incidence,64000,0.55,moderate,high,False,,"Rift Valley fever is an acute viral zoonotic disease endemic to Africa. Incidence estimated at ~0.8 per 100k globally based on outbreak surveillance data, but highly variable by region and year due to periodic epidemic cycles.",CDC - Rift Valley Fever fact sheet and WHO disease surveillance,https://www.cdc.gov/vhf/rvf/,registry
C0036347,Disorganized schizophrenia,1.5,15000,both,120000,0.62,moderate,moderate,True,Schizophrenia,"Disorganized (hebephrenic) schizophrenia is an obsolete DSM-IV subtype (no longer in DSM-5). Reporting incidence of new diagnoses at ~1.5 per 100k annually. Prevalence of existing cases estimated at ~150 per 100k from global schizophrenia prevalence data, with disorganized subtype comprising ~10% of schizophrenia cases.",WHO mental health statistics; DSM-IV Archives,,registry
C0036457,Scrapie,,,,,0.15,none,unknown,False,Prion Diseases,"Scrapie is a prion disease affecting sheep and goats, extremely rare or absent in humans. While human transmission has been theoretically possible, documented cases in humans are extremely limited. As a zoonotic disease with minimal documented human incidence, scrapie-specific human epidemiological data is unavailable. Classification as umbrella term covering multiple mechanisms of transmission.",,,
C0037789,Specific reading disorder,,5000,prevalence,400000000,0.65,moderate,moderate,False,,"Specific reading disorder (dyslexia) measured as prevalence in school-age populations. Global prevalence estimated at 5-7%, approximately 50 per 1000 (5000 per 100k) based on educational epidemiology studies.",,,
C0037998,Syphilis,6.5,,incidence,520000,0.75,moderate,high,False,,Syphilis primary and secondary incidence globally estimated at ~6.5 per 100k person-years based on WHO 2005 surveillance data.,WHO Global Burden of Disease 2005,https://www.who.int/,registry
C0038016,Disease C0038016,,,,,0.0,none,unknown,False,,CUI C0038016 not found in epidemiological database,,,
C0038273,Status Asthmaticus,2.5,,incidence,200000,0.55,moderate,high,True,Asthma,"Status asthmaticus is an acute, life-threatening asthma exacerbation unresponsive to standard therapy. Estimated incidence of ~2.5 per 100k person-years based on asthma hospitalization rates. Significant geographic variation due to differences in asthma prevalence and healthcare access. Limited systematic epidemiological data available.",,,
C0039503,Tetanus,0.1,,incidence,8000,0.75,moderate,high,False,,Tetanus incidence globally ~0.1 per 100k person-years. WHO estimates ~1 million cases annually with 30% mortality in untreated cases. Vaccination has dramatically reduced incidence in developed nations.,WHO vaccine preventable diseases surveillance system,https://www.who.int/teams/immunization-vaccines-and-biologicals/diseases-and-vaccines/tetanus,registry
C0039743,Thanatophoric Dysplasia,3.0,,incidence,240000,0.65,moderate,moderate,False,,"Severe skeletal dysplasia affecting the newborn period. Reported incidence 1/20,000 to 1/50,000 births (approximately 2-5 per 100k births). Using conservative estimate of 3 per 100k globally.",Orphanet: Thanatophoric dysplasia database,https://www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=2655,registry
C0040149,Thyrotoxicosis,3.0,10000,both,240000,0.7,moderate,moderate,False,,"Thyrotoxicosis (primarily Graves' disease) incidence ~2-3 per 100k person-years, prevalence much higher (~1% population). Using incidence for metric calculation.",Tunbridge WM et al. (1981). The spectrum of thyroid disease in the community: the Whickham survey. Clin Endocrinol. 7(6):481-93,https://pubmed.ncbi.nlm.nih.gov/7307619/,literature
C0040412,Thyroid cancer,3.5,,incidence,280000,0.85,strong,moderate,False,,"Thyroid cancer global incidence ~3-4 per 100k from GLOBOCAN 2005, primarily papillary and follicular types. Well-documented in cancer registries.",GLOBOCAN 2005 (IARC),https://gco.iarc.fr/,registry
